tab	ages
age	location	site	sample	specimen	age_unit	citations	method_codes
1091.83	Beaver Bay Complex				Ma	This study	GM-UPB-I-206
>>>>>>>>>>
tab	locations
location	age_unit	lat_n	lat_s	lon_e	lon_w	geologic_classes	lithologies	location_type	analysts	citations
Beaver Bay Complex	Ma	47.2	47.2	268.7	268.6	Igneous:Intrusive	Anorthosite:Diabase	Outcrop	Yiming Zhang	This study
Beaver Bay Complex	Ma	47.2	47.2	268.7	268.6	Igneous:Intrusive	Anorthosite:Diabase	Outcrop	Yiming Zhang	This study
>>>>>>>>>>
tab	measurements
measurement	experiment	specimen	dir_csd	dir_dec	dir_inc	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_step_num	treat_temp	citations	instrument_codes	method_codes	quality	sequence	standard	meas_n_orient	meas_temp	analysts	description	magn_moment	magn_x_sigma	magn_y_sigma	magn_z_sigma
BD2-14a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-497	BD2-14a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	BD2-14a	0.5	243.2	-48.4	0	2.9999999999999997e-05	0	-90	26	793	This study	hargrave 2020-10-27 17:19:06	LT-PTRM-I:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	497	u	4	273	Yiming Zhang		1.88e-06	9.150000000000001e-09	6.609999999999999e-09	1.08e-08
BD2-14a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-498	BD2-14a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	BD2-14a	0.4	243.1	-51.9	0	2.9999999999999997e-05	0	-90	27	813	This study	hargrave 2020-10-28 10:08:27	LT-T-I:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	498	u	4	273	Yiming Zhang		1.9e-06	8.93e-09	6.800000000000001e-09	1e-08
BD2-14a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-499	BD2-14a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	BD2-14a	0.4	241.2	-52.4	0	2.9999999999999997e-05	0	-90	28	823	This study	hargrave 2020-10-28 14:14:03	LT-T-I:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	499	u	4	273	Yiming Zhang		1.85e-06	8.53e-09	6.970000000000001e-09	9.61e-09
BD2-14a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-500	BD2-14a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	BD2-14a	0.6	245.9	-6.1	0	0	0	-90	29	823	This study	hargrave 2020-10-28 17:16:07	LT-T-Z:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	500	u	4	273	Yiming Zhang		1.14e-06	5.660000000000001e-09	2.7699999999999997e-09	1.01e-08
BD2-14a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-501	BD2-14a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	BD2-14a	0.6	243.3	-2.3	0	0	0	-90	30	826	This study	hargrave 2020-10-29 09:46:33	LT-T-Z:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	501	u	4	273	Yiming Zhang		1.11e-06	5.04e-09	2.7699999999999997e-09	9.79e-09
BD2-14a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-502	BD2-14a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	BD2-14a	0.4	245.7	-52	0	2.9999999999999997e-05	0	-90	31	813	This study	hargrave 2020-10-31 10:27:50	LT-PTRM-I:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	502	u	4	273	Yiming Zhang		1.74e-06	8.63e-09	6.759999999999998e-09	8.15e-09
BD2-14a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-503	BD2-14a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	BD2-14a	0.4	240.3	-53.6	0	2.9999999999999997e-05	0	-90	32	826	This study	hargrave 2020-10-31 14:20:56	LT-T-I:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	503	u	4	273	Yiming Zhang		1.77e-06	8.55e-09	7.120000000000002e-09	8.55e-09
BD2-14a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-504	BD2-14a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	BD2-14a	0.4	242.5	-54.5	0	2.9999999999999997e-05	0	-90	33	829	This study	hargrave 2020-10-31 17:56:13	LT-T-I:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	504	u	4	273	Yiming Zhang		1.76e-06	8.52e-09	7.36e-09	8.34e-09
BD2-14a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-505	BD2-14a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	BD2-14a	0.6	248.5	-10.3	0	0	0	-90	34	829	This study	hargrave 2020-11-01 09:36:58	LT-T-Z:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	505	u	4	273	Yiming Zhang		9.92e-07	6e-09	2.5e-09	8.57e-09
BD2-14a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-506	BD2-14a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	BD2-14a	0.6	245.0	-4.5	0	0	0	-90	35	832	This study	hargrave 2020-11-01 12:46:54	LT-T-Z:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	506	u	4	273	Yiming Zhang		9.1e-07	4.670000000000001e-09	2.25e-09	7.79e-09
BD2-14a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-507	BD2-14a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	BD2-14a	0.4	244.0	-56	0	2.9999999999999997e-05	0	-90	36	826	This study	hargrave 2020-11-01 16:13:31	LT-PTRM-I:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	507	u	4	273	Yiming Zhang		1.65e-06	7.879999999999998e-09	6.409999999999999e-09	7.46e-09
BD2-14a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-508	BD2-14a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	BD2-14a	0.4	242.8	-58.9	0	2.9999999999999997e-05	0	-90	37	832	This study	hargrave 2020-11-02 10:05:18	LT-T-I:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	508	u	4	273	Yiming Zhang		1.71e-06	7.96e-09	6.7900000000000016e-09	7.16e-09
BD2-14a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-509	BD2-14a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	BD2-14a	0.4	246.9	-62.1	0	2.9999999999999997e-05	0	-90	38	835	This study	hargrave 2020-11-02 13:40:27	LT-T-I:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	509	u	4	273	Yiming Zhang		1.81e-06	8.65e-09	7.090000000000002e-09	6.870000000000001e-09
BD2-14a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-510	BD2-14a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	BD2-14a	0.5	247.2	-20.9	0	0	0	-90	39	835	This study	hargrave 2020-11-02 16:56:03	LT-T-Z:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	510	u	4	273	Yiming Zhang		8.64e-07	3.95e-09	2.43e-09	6.920000000000002e-09
BD2-14a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-511	BD2-14a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	BD2-14a	0.6	246.2	-12.2	0	0	0	-90	40	838	This study	hargrave 2020-11-03 09:48:35	LT-T-Z:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	511	u	4	273	Yiming Zhang		7.96e-07	4.589999999999999e-09	2.1899999999999997e-09	6.690000000000001e-09
BD2-14a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-512	BD2-14a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	BD2-14a	0.4	246.8	-59.9	0	2.9999999999999997e-05	0	-90	41	832	This study	hargrave 2020-11-03 13:14:04	LT-PTRM-I:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	512	u	4	273	Yiming Zhang		1.52e-06	7.37e-09	6.06e-09	6.04e-09
BD2-14a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-513	BD2-14a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	BD2-14a	0.4	248.8	-65.8	0	2.9999999999999997e-05	0	-90	42	838	This study	hargrave 2020-11-03 16:55:06	LT-T-I:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	513	u	4	273	Yiming Zhang		1.77e-06	8.1e-09	7.53e-09	4.78e-09
BD2-14a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-514	BD2-14a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	BD2-14a	0.4	240.3	-74	0	2.9999999999999997e-05	0	-90	43	843	This study	hargrave 2020-11-04 10:12:32	LT-T-I:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	514	u	4	273	Yiming Zhang		2.29e-06	1.05e-08	1.05e-08	5.2e-09
BD2-14a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-515	BD2-14a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	BD2-14a	0.6	251.4	-31.3	0	0	0	-90	44	843	This study	hargrave 2020-11-04 13:23:41	LT-T-Z:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	515	u	4	273	Yiming Zhang		7.4e-07	4.62e-09	2.97e-09	5.13e-09
BD2-14a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-516	BD2-14a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	BD2-14a	0.6	246.4	-16.8	0	0	0	-90	45	848	This study	hargrave 2020-11-04 16:28:31	LT-T-Z:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	516	u	4	273	Yiming Zhang		6.27e-07	3.7e-09	2.25e-09	5.01e-09
BD2-14a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-517	BD2-14a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	BD2-14a	0.4	242.6	-70.7	0	2.9999999999999997e-05	0	-90	46	838	This study	hargrave 2020-11-04 20:09:49	LT-PTRM-I:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	517	u	4	273	Yiming Zhang		1.73e-06	8.25e-09	7.859999999999999e-09	4.5e-09
BD2-14a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-518	BD2-14a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	BD2-14a	0.4	243.6	-76.6	0	2.9999999999999997e-05	0	-90	47	848	This study	hargrave 2020-11-05 11:40:08	LT-T-I:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	518	u	4	273	Yiming Zhang		2.5e-06	1.1499999999999999e-08	1.1499999999999999e-08	4.770000000000001e-09
BD2-14a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-519	BD2-14a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	BD2-14a	0.4	238.8	-81.1	0	2.9999999999999997e-05	0	-90	48	853	This study	hargrave 2020-11-05 15:10:15	LT-T-I:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	519	u	4	273	Yiming Zhang		2.75e-06	1.18e-08	1.22e-08	3.55e-09
BD2-14a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-520	BD2-14a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	BD2-14a	0.6	244.1	-35.2	0	0	0	-90	49	853	This study	hargrave 2020-11-05 18:24:34	LT-T-Z:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	520	u	4	273	Yiming Zhang		5.3e-07	3.0599999999999998e-09	2.52e-09	3.58e-09
BD2-14a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-521	BD2-14a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	BD2-14a	0.6	245.7	-20.8	0	0	0	-90	50	858	This study	hargrave 2020-11-06 09:43:26	LT-T-Z:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	521	u	4	273	Yiming Zhang		4.1e-07	2.65e-09	1.6699999999999998e-09	3.4399999999999997e-09
BD2-14a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-522	BD2-14a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	BD2-14a	0.4	237.9	-81.8	0	2.9999999999999997e-05	0	-90	51	848	This study	hargrave 2020-11-06 13:29:49	LT-PTRM-I:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	522	u	4	273	Yiming Zhang		2.68e-06	1.1200000000000001e-08	1.1899999999999999e-08	3.3e-09
BD2-14a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-523	BD2-14a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	BD2-14a	0.4	233.9	-82.6	0	2.9999999999999997e-05	0	-90	52	858	This study	hargrave 2020-11-06 17:56:19	LT-T-I:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	523	u	4	273	Yiming Zhang		2.91e-06	1.22e-08	1.29e-08	3.560000000000001e-09
BD2-15a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-524	BD2-15a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	BD2-15a	0.5	246.4	-0.6	0	0	0	-90	0	273	This study	hargrave 2020-10-12 16:25:38	LT-NO:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	524	u	4	273	Yiming Zhang		4.13e-06	2.4199999999999998e-08	1.04e-08	3.4500000000000005e-08
BD2-15a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-525	BD2-15a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	BD2-15a	0.5	243.1	-0.5	0	0	0	-90	1	373	This study	hargrave 2020-10-14 11:28:58	LT-T-Z:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	525	u	4	273	Yiming Zhang		4.13e-06	2.13e-08	1.1699999999999999e-08	3.2799999999999996e-08
BD2-15a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-526	BD2-15a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	BD2-15a	0.5	244.9	-0.6	0	2.9999999999999997e-05	0	-90	2	373	This study	hargrave 2020-10-14 17:08:22	LT-T-I:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	526	u	4	273	Yiming Zhang		4e-06	2.0499999999999998e-08	1.2099999999999999e-08	3.18e-08
BD2-15a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-527	BD2-15a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	BD2-15a	0.5	252.4	-1.4	0	2.9999999999999997e-05	0	-90	3	473	This study	hargrave 2020-10-15 11:53:53	LT-T-I:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	527	u	4	273	Yiming Zhang		3.78e-06	1.75e-08	2.06e-08	3.1e-08
BD2-15a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-528	BD2-15a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	BD2-15a	0.5	246.4	-0.7	0	0	0	-90	4	473	This study	hargrave 2020-10-15 14:46:44	LT-T-Z:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	528	u	4	273	Yiming Zhang		3.79e-06	1.57e-08	1.79e-08	3.11e-08
BD2-15a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-529	BD2-15a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	BD2-15a	0.5	247.0	0.2	0	0	0	-90	5	573	This study	hargrave 2020-10-15 17:25:43	LT-T-Z:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	529	u	4	273	Yiming Zhang		3.36e-06	1.27e-08	1.58e-08	2.76e-08
BD2-15a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-530	BD2-15a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	BD2-15a	0.5	248.9	-0.3	0	2.9999999999999997e-05	0	-90	6	373	This study	hargrave 2020-10-16 13:55:04	LT-PTRM-I:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	530	u	4	273	Yiming Zhang		3.23e-06	1.3400000000000001e-08	2.0099999999999998e-08	2.75e-08
BD2-15a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-531	BD2-15a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	BD2-15a	0.5	250.0	-8.4	0	2.9999999999999997e-05	0	-90	7	573	This study	hargrave 2020-10-18 14:35:50	LT-T-I:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	531	u	4	273	Yiming Zhang		2.98e-06	1.55e-08	1.98e-08	2.41e-08
BD2-15a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-532	BD2-15a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	BD2-15a	0.4	251.9	-18.5	0	2.9999999999999997e-05	0	-90	8	673	This study	hargrave 2020-10-18 18:07:34	LT-T-I:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	532	u	4	273	Yiming Zhang		2.28e-06	8.55e-09	1.16e-08	1.73e-08
BD2-15a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-533	BD2-15a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	BD2-15a	0.5	249.2	-1.9	0	0	0	-90	9	673	This study	hargrave 2020-10-19 12:01:06	LT-T-Z:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	533	u	4	273	Yiming Zhang		2.13e-06	6.559999999999999e-09	1.18e-08	1.72e-08
BD2-15a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-534	BD2-15a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	BD2-15a	0.5	250.3	-1.5	0	0	0	-90	10	723	This study	hargrave 2020-10-19 15:00:56	LT-T-Z:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	534	u	4	273	Yiming Zhang		1.99e-06	7.41e-09	1.31e-08	1.65e-08
BD2-15a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-535	BD2-15a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	BD2-15a	0.4	245.2	-15.2	0	2.9999999999999997e-05	0	-90	11	573	This study	hargrave 2020-10-19 19:06:40	LT-PTRM-I:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	535	u	4	273	Yiming Zhang		2e-06	7.21e-09	6.1e-09	1.56e-08
BD2-15a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-536	BD2-15a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	BD2-15a	0.4	251.2	-22.1	0	2.9999999999999997e-05	0	-90	12	723	This study	hargrave 2020-10-20 11:47:25	LT-T-I:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	536	u	4	273	Yiming Zhang		2.03e-06	6.37e-09	8.34e-09	1.5e-08
BD2-15a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-537	BD2-15a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	BD2-15a	0.4	254.7	-23.3	0	2.9999999999999997e-05	0	-90	13	748	This study	hargrave 2020-10-20 16:32:07	LT-T-I:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	537	u	4	273	Yiming Zhang		1.96e-06	5.94e-09	1.16e-08	1.44e-08
BD2-15a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-538	BD2-15a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	BD2-15a	0.5	248.6	-2.8	0	0	0	-90	14	748	This study	hargrave 2020-10-21 11:32:15	LT-T-Z:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	538	u	4	273	Yiming Zhang		1.76e-06	6.21e-09	9.88e-09	1.46e-08
BD2-15a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-539	BD2-15a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	BD2-15a	0.5	249.1	-2.5	0	0	0	-90	15	773	This study	hargrave 2020-10-21 16:00:14	LT-T-Z:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	539	u	4	273	Yiming Zhang		1.72e-06	5.489999999999999e-09	8.87e-09	1.4099999999999999e-08
BD2-15a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-540	BD2-15a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	BD2-15a	0.4	254.4	-25.6	0	2.9999999999999997e-05	0	-90	16	723	This study	hargrave 2020-10-22 11:14:29	LT-PTRM-I:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	540	u	4	273	Yiming Zhang		1.88e-06	5.61e-09	1.02e-08	1.31e-08
BD2-15a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-541	BD2-15a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	BD2-15a	0.4	251.6	-28.1	0	2.9999999999999997e-05	0	-90	17	773	This study	hargrave 2020-10-22 15:04:49	LT-T-I:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	541	u	4	273	Yiming Zhang		1.87e-06	4.93e-09	7.79e-09	1.32e-08
BD2-15a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-542	BD2-15a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	BD2-15a	0.4	249.1	-29.2	0	2.9999999999999997e-05	0	-90	18	783	This study	hargrave 2020-10-22 18:47:26	LT-T-I:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	542	u	4	273	Yiming Zhang		1.87e-06	5.37e-09	7.11e-09	1.29e-08
BD2-15a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-543	BD2-15a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	BD2-15a	0.5	251.5	-3.4	0	0	0	-90	19	783	This study	hargrave 2020-10-23 13:01:43	LT-T-Z:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	543	u	4	273	Yiming Zhang		1.59e-06	4.76e-09	9.61e-09	1.28e-08
BD2-15a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-544	BD2-15a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	BD2-15a	0.5	249.4	-3.2	0	0	0	-90	20	793	This study	hargrave 2020-10-23 16:07:06	LT-T-Z:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	544	u	4	273	Yiming Zhang		1.57e-06	5.4600000000000006e-09	9.229999999999999e-09	1.29e-08
BD2-15a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-545	BD2-15a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	BD2-15a	0.4	253.8	-33.6	0	2.9999999999999997e-05	0	-90	21	773	This study	hargrave 2020-10-25 17:11:25	LT-PTRM-I:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	545	u	4	273	Yiming Zhang		1.8e-06	4.73e-09	8.58e-09	1.18e-08
BD2-15a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-546	BD2-15a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	BD2-15a	0.3	247.9	-35.9	0	2.9999999999999997e-05	0	-90	22	793	This study	hargrave 2020-10-26 12:28:13	LT-T-I:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	546	u	4	273	Yiming Zhang		1.82e-06	4.3e-09	7.46e-09	1.1899999999999999e-08
BD2-15a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-547	BD2-15a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	BD2-15a	0.4	255.5	-36.9	0	2.9999999999999997e-05	0	-90	23	803	This study	hargrave 2020-10-26 18:58:24	LT-T-I:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	547	u	4	273	Yiming Zhang		1.86e-06	4.4700000000000005e-09	1.1100000000000002e-08	1.1499999999999999e-08
